dataset,filtering,source,relation_1,relation_2,relation_3,relation_1_path,relation_2_path,relation_3_path,binary_join_median_runtime,worst_case_optimal_join_median_runtime,speedup,faster_class,join_0_size,join_0_explosion_factor,join_0_n_chains,join_0_avg_chain_length,join_0_ams_array_mean_per_update,join_0_size_if_chains_larger_3,join_0_size_if_chains_larger_6,join_1_size,join_1_n_chains,join_1_avg_chain_length,join_1_ams_array_mean_per_update,predicted_join_size,both_joins_avg_chain_length,both_joins_combined_size,larger_join_avg_chain_length,chain_diff,max_avg_chain_length,min_avg_chain_length,min_ams_sketch,n_unique_relations,explosion_factor,join_0_vs_join_1_size,explosion_factor_join_0,explosion_factor_join_1,explosion_factor_max_both,explosion_factor_min_both,execution_time
generated,False,tables,f575905ce03c87a3ed18d437573b4fe0_gaussian_random_partition_edges,f575905ce03c87a3ed18d437573b4fe0_gaussian_random_partition_edges,f575905ce03c87a3ed18d437573b4fe0_gaussian_random_partition_edges,data/generated-and-snap-parquet/f______ce__c__a_ed__d______b_fe__gaussian_random_partition_edges.parquet,data/generated-and-snap-parquet/f______ce__c__a_ed__d______b_fe__gaussian_random_partition_edges.parquet,data/generated-and-snap-parquet/f______ce__c__a_ed__d______b_fe__gaussian_random_partition_edges.parquet,3.5065413999999997,1.9194062,1.7431549972355422,1,249950,249950.0,1000,249.95,296.964324864973,249950,249950,249950,1000,249.95,296.964324864973,74226233.0,62475.002499999995,499900,249.95,0.0,249.95,249.95,296.964324864973,1,296.964324864973,1.0,296.964324864973,296.964324864973,296.964324864973,296.964324864973,3.5065413999999997
generated,True,tables,fccae2761308edea6079baa583968fdb_gaussian_random_partition_edges,fccae2761308edea6079baa583968fdb_gaussian_random_partition_edges,3e766c30ef60418a6be10659925a9b44_gaussian_random_partition_edges,data/generated-and-snap-parquet/fccae_______edea____baa______fdb_gaussian_random_partition_edges.parquet,data/generated-and-snap-parquet/fccae_______edea____baa______fdb_gaussian_random_partition_edges.parquet,data/generated-and-snap-parquet/_e___c__ef_____a_be________a_b___gaussian_random_partition_edges.parquet,3.715252800000001,1.954477,1.480368186944511,1,250033,250033.0,1000,250.033,294.85825071090613,250033,250033,250285,1000,250.285,297.33563337794914,73889026.0,62579.509405,500318,250.285,0.2520000000000095,250.285,250.033,294.85825071090613,2,295.36824979313155,0.9989931478114948,295.5170957433619,295.219553708772,295.219553708772,295.5170957433619,3.715252800000001
generated,True,tables,95c19e8d4e6db5dd6a9eb4fca2451d2d_gaussian_random_partition_edges,64f6eff4bd90257b240ba9b42b53ab14_gaussian_random_partition_edges,490613cfa1cdf6ded60d6690986ee3c7_gaussian_random_partition_edges,data/generated-and-snap-parquet/__c__e_d_e_db_dd_a_eb_fca____d_d_gaussian_random_partition_edges.parquet,data/generated-and-snap-parquet/__f_eff_bd_____b___ba_b__b__ab___gaussian_random_partition_edges.parquet,data/generated-and-snap-parquet/______cfa_cdf_ded__d_______ee_c__gaussian_random_partition_edges.parquet,8.0939444,21.033118199999997,0.4318394154994687,0,249782,249782.0,1000,249.782,296.4348151588185,249782,249782,992848,1000,992.848,1172.525036057886,293266546.0,247995.559136,1242630,992.848,743.0659999999999,992.848,249.782,296.4348151588185,3,472.0094412657026,0.251581309525728,1174.0899904716914,295.3790973039176,295.3790973039176,1174.0899904716914,8.0939444
generated,False,tables,52ba1baacdcc2cc1c1b7da38700b62ae_gaussian_random_partition_edges,52ba1baacdcc2cc1c1b7da38700b62ae_gaussian_random_partition_edges,52ba1baacdcc2cc1c1b7da38700b62ae_gaussian_random_partition_edges,data/generated-and-snap-parquet/__ba_baacdcc_cc_c_b_da_____b__ae_gaussian_random_partition_edges.parquet,data/generated-and-snap-parquet/__ba_baacdcc_cc_c_b_da_____b__ae_gaussian_random_partition_edges.parquet,data/generated-and-snap-parquet/__ba_baacdcc_cc_c_b_da_____b__ae_gaussian_random_partition_edges.parquet,17.9103584,10.8346832,1.6648292623944478,1,500726,500726.0,1000,500.726,593.5551539165132,500726,500726,500726,1000,500.726,593.5551539165132,297208498.0,250726.527076,1001452,500.726,0.0,500.726,500.726,593.5551539165132,1,593.5551539165132,1.0,593.5551539165132,593.5551539165132,593.5551539165132,593.5551539165132,17.9103584
generated,False,tables,8c3e6046a349bbb793e9c5ccee13f795_gaussian_random_partition_edges,8c3e6046a349bbb793e9c5ccee13f795_gaussian_random_partition_edges,8c3e6046a349bbb793e9c5ccee13f795_gaussian_random_partition_edges,data/generated-and-snap-parquet/_c_e____a___bbb___e_c_ccee__f____gaussian_random_partition_edges.parquet,data/generated-and-snap-parquet/_c_e____a___bbb___e_c_ccee__f____gaussian_random_partition_edges.parquet,data/generated-and-snap-parquet/_c_e____a___bbb___e_c_ccee__f____gaussian_random_partition_edges.parquet,20.211055,15.2012218,1.3339287453384563,1,502491,502491.0,1000,502.491,595.5476754807548,502491,502491,502491,1000,502.491,595.5476754807548,299257347.0,252497.205081,1004982,502.491,0.0,502.491,502.491,595.5476754807548,1,595.5476754807548,1.0,595.5476754807548,595.5476754807548,595.5476754807548,595.5476754807548,20.211055
generated,False,tables,296cfdf96af0a14ad441e102b9135238_edges_newman_watts_strogatz,296cfdf96af0a14ad441e102b9135238_edges_newman_watts_strogatz,296cfdf96af0a14ad441e102b9135238_edges_newman_watts_strogatz,data/generated-and-snap-parquet/___cfdf__af_a__ad___e___b________edges_newman_watts_strogatz.parquet,data/generated-and-snap-parquet/___cfdf__af_a__ad___e___b________edges_newman_watts_strogatz.parquet,data/generated-and-snap-parquet/___cfdf__af_a__ad___e___b________edges_newman_watts_strogatz.parquet,0.4195395999999999,0.3202644,1.2987724276362589,1,280000,280000.0,10000,28.0,27.057975,280000,280000,280000,10000,28.0,27.057975,7576233.0,784.0,560000,28.0,0.0,28.0,28.0,27.057975,1,27.057975,1.0,27.057975,27.057975,27.057975,27.057975,0.4195395999999999
generated,False,tables,26974cc24027d2bc993872a1f1f31d86_gaussian_random_partition_edges,26974cc24027d2bc993872a1f1f31d86_gaussian_random_partition_edges,26974cc24027d2bc993872a1f1f31d86_gaussian_random_partition_edges,data/generated-and-snap-parquet/_____cc_____d_bc______a_f_f__d___gaussian_random_partition_edges.parquet,data/generated-and-snap-parquet/_____cc_____d_bc______a_f_f__d___gaussian_random_partition_edges.parquet,data/generated-and-snap-parquet/_____cc_____d_bc______a_f_f__d___gaussian_random_partition_edges.parquet,18.1020088,10.9324098,1.6465056804145486,1,504244,504244.0,1000,504.244,594.9676386828598,504244,504244,504244,1000,504.244,594.9676386828598,300008862.0,254262.01153600003,1008488,504.244,0.0,504.244,504.244,594.9676386828598,1,594.9676386828598,1.0,594.9676386828598,594.9676386828598,594.9676386828598,594.9676386828598,18.1020088
generated,True,tables,d71550294e2a2032d35bc8004e565d46_gaussian_random_partition_edges,d71550294e2a2032d35bc8004e565d46_gaussian_random_partition_edges,d71550294e2a2032d35bc8004e565d46_gaussian_random_partition_edges,data/generated-and-snap-parquet/d________e_a____d__bc____e___d___gaussian_random_partition_edges.parquet,data/generated-and-snap-parquet/d________e_a____d__bc____e___d___gaussian_random_partition_edges.parquet,data/generated-and-snap-parquet/d________e_a____d__bc____e___d___gaussian_random_partition_edges.parquet,21.1425038,12.564224,1.5404031368161304,1,503423,503423.0,1000,503.423,596.7279802472275,503423,503423,503423,1000,503.423,596.7279802472275,300406590.0,253434.716929,1006846,503.423,0.0,503.423,503.423,596.7279802472275,1,596.7279802472275,1.0,596.7279802472275,596.7279802472275,596.7279802472275,596.7279802472275,21.1425038
generated,False,tables,8d6c7f777f63d151e7e9c3188d13f56b_gaussian_random_partition_edges,8d6c7f777f63d151e7e9c3188d13f56b_gaussian_random_partition_edges,8d6c7f777f63d151e7e9c3188d13f56b_gaussian_random_partition_edges,data/generated-and-snap-parquet/_d_c_f___f__d___e_e_c____d__f__b_gaussian_random_partition_edges.parquet,data/generated-and-snap-parquet/_d_c_f___f__d___e_e_c____d__f__b_gaussian_random_partition_edges.parquet,data/generated-and-snap-parquet/_d_c_f___f__d___e_e_c____d__f__b_gaussian_random_partition_edges.parquet,0.343242,0.2004767999999999,1.5934535271736003,1,102382,102382.0,1000,102.382,121.89686663671348,102382,102382,102382,1000,102.382,121.89686663671348,12480045.0,10482.073924,204764,102.382,0.0,102.382,102.382,121.89686663671348,1,121.89686663671348,1.0,121.89686663671348,121.89686663671348,121.89686663671348,121.89686663671348,0.343242
generated,True,tables,4abdcf919defc32f0cb6dd48f976302d_gaussian_random_partition_edges,4abdcf919defc32f0cb6dd48f976302d_gaussian_random_partition_edges,50adfb516aa65223dd5443ffed4eebc0_gaussian_random_partition_edges,data/generated-and-snap-parquet/_abdcf___defc__f_cb_dd__f______d_gaussian_random_partition_edges.parquet,data/generated-and-snap-parquet/_abdcf___defc__f_cb_dd__f______d_gaussian_random_partition_edges.parquet,data/generated-and-snap-parquet/__adfb___aa_____dd____ffed_eebc__gaussian_random_partition_edges.parquet,3.1302646,5.5446628,1.8180355956380123,1,205858,205858.0,1000,205.858,246.06095949635184,205858,205858,250192,1000,250.192,294.76270624160645,60944212.5,51504.024736,456050,250.192,44.334,250.192,205.858,246.06095949635184,2,267.2698717245916,0.82280008953124,296.04976488647515,243.5897730542943,243.5897730542943,296.04976488647515,3.1302646
